"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2016","129.70","129.64","129.80","129.50","896.68K","0.02%"
"05/19/2016","129.67","129.55","129.78","129.31","1.64M","0.22%"
"05/18/2016","129.38","130.30","130.38","129.33","1.93M","-0.79%"
"05/17/2016","130.41","130.52","130.62","130.28","1.13M","-0.08%"
"05/16/2016","130.52","131.03","131.11","130.48","906.70K","-0.34%"
"05/13/2016","130.97","130.59","130.98","130.55","1.28M","0.29%"
"05/12/2016","130.59","130.88","130.95","130.52","1.19M","-0.24%"
"05/11/2016","130.91","130.75","131.09","130.66","1.11M","0.10%"
"05/10/2016","130.78","130.88","130.91","130.62","992.39K","-0.02%"
"05/09/2016","130.80","130.53","130.89","130.44","875.12K","0.21%"
"05/06/2016","130.53","130.75","131.20","130.45","1.52M","-0.15%"
"05/05/2016","130.73","130.50","130.88","130.25","1.19M","0.22%"
"05/04/2016","130.44","130.31","130.55","130.16","1.12M","0.11%"
"05/03/2016","130.30","129.64","130.47","129.64","1.32M","0.46%"
"05/02/2016","129.70","129.92","130.16","129.62","890.23K","-0.28%"
"04/29/2016","130.06","130.05","130.19","129.66","1.50M","0.08%"
"04/28/2016","129.95","129.86","130.17","129.66","1.48M","0.13%"
"04/27/2016","129.78","129.17","129.88","129.16","1.14M","0.47%"
"04/26/2016","129.17","129.30","129.48","129.06","1.06M","-0.16%"
"04/25/2016","129.38","129.52","129.70","129.28","943.31K","-0.07%"
"04/22/2016","129.47","129.69","129.78","129.36","1.01M","-0.11%"
"04/21/2016","129.61","129.81","129.91","129.45","1.40M","-0.11%"
"04/20/2016","129.75","130.33","130.59","129.70","1.29M","-0.47%"
"04/19/2016","130.36","130.50","130.50","130.20","1.02M","-0.11%"
"04/18/2016","130.50","130.86","130.89","130.38","899.72K","-0.11%"
"04/15/2016","130.64","130.30","130.73","130.20","819.01K","0.20%"
"04/14/2016","130.38","130.61","130.70","130.20","1.08M","-0.18%"
"04/13/2016","130.62","130.53","130.72","130.36","1.07M","0.05%"
"04/12/2016","130.55","130.98","131.03","130.50","977.57K","-0.37%"
"04/11/2016","131.03","131.08","131.22","130.77","806.16K","0.00%"
"04/08/2016","131.03","131.23","131.27","130.84","783.76K","-0.17%"
"04/07/2016","131.25","130.67","131.30","130.58","1.02M","0.43%"
"04/06/2016","130.69","130.86","130.91","130.52","944.33K","-0.11%"
"04/05/2016","130.83","130.59","130.97","130.56","996.73K","0.28%"
"04/04/2016","130.47","130.47","130.64","130.31","739.94K","0.13%"
"04/01/2016","130.30","130.48","130.50","130.06","1.28M","-0.07%"
"03/31/2016","130.39","130.05","130.53","129.95","1.14M","0.28%"
"03/30/2016","130.02","130.03","130.11","129.70","1.12M","0.02%"
"03/29/2016","130.00","129.28","130.09","129.20","1.05M","0.46%"
"03/28/2016","129.41","129.16","129.47","128.97","427.32K","0.15%"
"03/24/2016","129.22","129.27","129.47","128.97","749.24K","-0.09%"
"03/23/2016","129.33","128.73","129.36","128.64","886.49K","0.41%"
"03/22/2016","128.80","129.02","129.38","128.70","1.05M","-0.58%"
"03/21/2016","129.55","129.89","129.91","129.52","19.45K","-0.24%"
"03/18/2016","129.86","129.62","129.92","129.62","11.43K","0.23%"
"03/17/2016","129.56","129.53","129.92","129.50","6.41K","0.20%"
"03/16/2016","129.30","128.84","129.52","128.52","18.24K","0.34%"
"03/15/2016","128.86","128.84","129.23","128.77","18.64K","-0.02%"
"03/14/2016","128.88","128.83","129.05","128.72","5.90K","-1.28%"
"03/12/2016","130.55","130.98","131.03","130.50","","1.36%"
"03/11/2016","128.80","129.06","129.14","128.66","7.75K","-0.20%"
"03/10/2016","129.06","129.47","129.78","128.94","11.52K","-0.32%"
"03/09/2016","129.48","130.00","130.00","129.44","10.60K","-0.34%"
"03/08/2016","129.92","129.38","130.09","129.38","17.76K","0.45%"
"03/07/2016","129.34","129.58","129.58","129.27","44.40K","-0.12%"
"03/04/2016","129.50","129.83","130.05","129.34","46.71K","-0.32%"
"03/03/2016","129.92","129.83","130.05","129.62","24.37K","0.13%"
"03/02/2016","129.75","130.00","130.17","129.59","94.73K","-0.19%"
"03/01/2016","130.00","130.95","131.22","129.98","154.09K","-0.70%"
"02/29/2016","130.91","130.78","131.00","130.66","264.22K","0.12%"
"02/26/2016","130.75","131.25","131.27","130.58","1.28M","-0.53%"
"02/25/2016","131.45","130.94","131.59","130.84","2.26M","0.34%"
"02/24/2016","131.00","131.12","131.80","130.89","2.56M","0.05%"
"02/23/2016","130.94","130.86","131.17","130.36","2.43M","0.12%"
"02/22/2016","130.78","130.86","130.94","130.56","1.25M","-0.10%"
"02/19/2016","130.91","131.09","131.28","130.64","1.32M","-0.01%"
"02/18/2016","130.92","130.44","131.11","130.31","1.34M","0.37%"
"02/17/2016","130.44","130.95","131.20","130.19","1.48M","-0.36%"
"02/16/2016","130.91","130.98","131.16","130.62","1.58M","0.05%"
"02/15/2016","130.85","131.04","131.15","130.76","","-0.13%"
"02/14/2016","131.02","130.96","131.04","130.93","","-0.03%"
"02/12/2016","131.06","131.84","132.00","130.95","1.73M","-0.73%"
"02/11/2016","132.03","131.75","133.05","131.67","2.47M","0.40%"
"02/10/2016","131.50","131.28","131.77","130.91","1.78M","0.14%"
"02/09/2016","131.31","131.19","131.75","131.02","1.99M","0.01%"
"02/08/2016","131.30","130.34","131.31","130.17","1.68M","0.72%"
"02/05/2016","130.36","130.44","130.69","129.92","1.84M","0.07%"
"02/04/2016","130.27","130.00","130.45","129.84","1.71M","0.19%"
