"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2017","10.05","10.05","10.05","10.05","","-0.79%"
"05/04/2017","10.13","10.13","10.13","10.13","","5.63%"
"05/03/2017","9.59","9.59","9.59","9.59","","-2.44%"
"05/02/2017","9.83","9.83","9.83","9.83","","1.03%"
"05/01/2017","9.73","9.73","9.73","9.73","","3.07%"
"04/28/2017","9.44","9.44","9.44","9.44","","-4.65%"
"04/27/2017","9.90","9.90","9.90","9.90","","5.21%"
"04/26/2017","9.41","9.41","9.41","9.41","","-0.95%"
"04/25/2017","9.50","9.50","9.50","9.50","","-3.06%"
"04/24/2017","9.80","9.80","9.80","9.80","","-21.54%"
"04/21/2017","12.49","12.49","12.49","12.49","","-0.16%"
"04/20/2017","12.51","12.51","12.51","12.51","","0.08%"
"04/19/2017","12.50","12.50","12.50","12.50","","-0.71%"
"04/18/2017","12.59","12.59","12.59","12.59","","-1.02%"
"04/17/2017","12.72","12.72","12.72","12.72","","-10.11%"
"04/13/2017","14.15","14.15","14.15","14.15","","9.44%"
"04/12/2017","12.93","12.93","12.93","12.93","","1.49%"
"04/11/2017","12.74","12.74","12.74","12.74","","5.12%"
"04/10/2017","12.12","12.12","12.12","12.12","","2.54%"
"04/07/2017","11.82","11.82","11.82","11.82","","1.37%"
"04/06/2017","11.66","11.66","11.66","11.66","","6.39%"
"04/05/2017","10.96","10.96","10.96","10.96","","7.24%"
"04/04/2017","10.22","10.22","10.22","10.22","","-4.58%"
"04/03/2017","10.71","10.71","10.71","10.71","","-0.93%"
"03/31/2017","10.81","10.81","10.81","10.81","","3.84%"
"03/30/2017","10.41","10.41","10.41","10.41","","10.74%"
"03/29/2017","9.40","9.40","9.40","9.40","","-6.00%"
"03/28/2017","10.00","10.00","10.00","10.00","","-7.15%"
"03/27/2017","10.77","10.77","10.77","10.77","","-4.94%"
"03/24/2017","11.33","11.33","11.33","11.33","","-5.43%"
"03/23/2017","11.98","11.98","11.98","11.98","","13.45%"
